######################################################
#             2D Heat Conduction Solver              #
#              Created by J. Mark Epps               #
#          Part of Masters Thesis at UW 2018-2020    #
######################################################

Reading input file...
######################################################
#             2D Heat Conduction Solver              #
#              Created by J. Mark Epps               #
#          Part of Masters Thesis at UW 2018-2020    #
######################################################

Reading input file...
################################
Initializing geometry package...
################################
Initializing geometry package...
################################
Initializing MPI and solver...
################################
Initializing MPI and solver...
################################
Initializing domain...
################################
Initializing domain...
################################
Saving input file to output directory...
################################
Saving input file to output directory...
################################

Saving data to numpy array files...
################################

Saving data to numpy array files...
Solving:
Solving:
Time step 100, Step size=0.0000033ms, Time elapsed=0.000000s;
Time step 100, Step size=0.0000033ms, Time elapsed=0.000000s;
Time step 200, Step size=0.0000033ms, Time elapsed=0.000001s;
Time step 200, Step size=0.0000033ms, Time elapsed=0.000001s;
Time step 300, Step size=0.0000033ms, Time elapsed=0.000001s;
Time step 300, Step size=0.0000033ms, Time elapsed=0.000001s;
Time step 400, Step size=0.0000033ms, Time elapsed=0.000001s;
Time step 400, Step size=0.0000033ms, Time elapsed=0.000001s;
Time step 500, Step size=0.0000033ms, Time elapsed=0.000002s;
Time step 500, Step size=0.0000033ms, Time elapsed=0.000002s;
Time step 600, Step size=0.0000033ms, Time elapsed=0.000002s;
Time step 600, Step size=0.0000033ms, Time elapsed=0.000002s;
Time step 700, Step size=0.0000033ms, Time elapsed=0.000002s;
Time step 700, Step size=0.0000033ms, Time elapsed=0.000002s;
Time step 800, Step size=0.0000033ms, Time elapsed=0.000003s;
Time step 800, Step size=0.0000033ms, Time elapsed=0.000003s;
Time step 900, Step size=0.0000033ms, Time elapsed=0.000003s;
Time step 900, Step size=0.0000033ms, Time elapsed=0.000003s;
Time step 1000, Step size=0.0000033ms, Time elapsed=0.000003s;
Time step 1000, Step size=0.0000033ms, Time elapsed=0.000003s;
Time step 1100, Step size=0.0000033ms, Time elapsed=0.000004s;
Time step 1100, Step size=0.0000033ms, Time elapsed=0.000004s;
Time step 1200, Step size=0.0000033ms, Time elapsed=0.000004s;
Time step 1200, Step size=0.0000033ms, Time elapsed=0.000004s;
Time step 1300, Step size=0.0000033ms, Time elapsed=0.000004s;
Time step 1300, Step size=0.0000033ms, Time elapsed=0.000004s;
Time step 1400, Step size=0.0000033ms, Time elapsed=0.000005s;
Time step 1400, Step size=0.0000033ms, Time elapsed=0.000005s;
Time step 1500, Step size=0.0000033ms, Time elapsed=0.000005s;
Time step 1500, Step size=0.0000033ms, Time elapsed=0.000005s;
Time step 1600, Step size=0.0000033ms, Time elapsed=0.000005s;
Time step 1600, Step size=0.0000033ms, Time elapsed=0.000005s;
Time step 1700, Step size=0.0000033ms, Time elapsed=0.000006s;
Time step 1700, Step size=0.0000033ms, Time elapsed=0.000006s;
Time step 1800, Step size=0.0000033ms, Time elapsed=0.000006s;
Time step 1800, Step size=0.0000033ms, Time elapsed=0.000006s;
Time step 1900, Step size=0.0000033ms, Time elapsed=0.000006s;
Time step 1900, Step size=0.0000033ms, Time elapsed=0.000006s;
Time step 2000, Step size=0.0000033ms, Time elapsed=0.000007s;
Time step 2000, Step size=0.0000033ms, Time elapsed=0.000007s;
Time step 2100, Step size=0.0000033ms, Time elapsed=0.000007s;
Time step 2100, Step size=0.0000033ms, Time elapsed=0.000007s;
Time step 2200, Step size=0.0000033ms, Time elapsed=0.000007s;
Time step 2200, Step size=0.0000033ms, Time elapsed=0.000007s;
Time step 2300, Step size=0.0000033ms, Time elapsed=0.000008s;
Time step 2300, Step size=0.0000033ms, Time elapsed=0.000008s;
Time step 2400, Step size=0.0000033ms, Time elapsed=0.000008s;
Time step 2400, Step size=0.0000033ms, Time elapsed=0.000008s;
Time step 2500, Step size=0.0000033ms, Time elapsed=0.000008s;
Time step 2500, Step size=0.0000033ms, Time elapsed=0.000008s;
Time step 2600, Step size=0.0000033ms, Time elapsed=0.000009s;
Time step 2600, Step size=0.0000033ms, Time elapsed=0.000009s;
Time step 2700, Step size=0.0000033ms, Time elapsed=0.000009s;
Time step 2700, Step size=0.0000033ms, Time elapsed=0.000009s;
Time step 2800, Step size=0.0000033ms, Time elapsed=0.000009s;
Time step 2800, Step size=0.0000033ms, Time elapsed=0.000009s;
Time step 2900, Step size=0.0000033ms, Time elapsed=0.000010s;
Time step 2900, Step size=0.0000033ms, Time elapsed=0.000010s;
Time step 3000, Step size=0.0000033ms, Time elapsed=0.000010s;
Time step 3000, Step size=0.0000033ms, Time elapsed=0.000010s;
Time step 3100, Step size=0.0000033ms, Time elapsed=0.000010s;
Time step 3100, Step size=0.0000033ms, Time elapsed=0.000010s;
Time step 3200, Step size=0.0000033ms, Time elapsed=0.000011s;
